chr	pos	pos2	p.value	test.s	con.s	test.s2	con.s2	test.mC	con.mC	test.mC2	con.mC2	test.post	con.post	test.post2	con.post2	meanDiff	DM.p	DM.status	index	meanCov.test	meanCov.control
chr1	34398849	34398850	0.0014	1:1:0.5:1	1:0:0:0	1:1:1:1	0:0:0:0	0.75:0.86:0.61:0.88	0.88:0.03:0.05:0	1:0.81:0.93:0.94	0:0:0:0	0.97:1:0.87:1	0.97:1:1:1	1:0.93:0.97:1	1:1:1:1	0.538	hyper	hyper	14197	21.5	24.5
chr1	34398850	34398915	0.0014	1:1:1:1	0:0:0:0	0:0.5:1:1	0:0:0:0	1:0.81:0.93:0.94	0:0:0:0	0:0.65:0.82:1	0:0:0:0	1:0.93:0.97:1	1:1:1:1	1:0.57:0.97:1	1:1:1:1	0.9182	hyper	hyper	14198	23.25	24.5
chr1	34398915	34398916	0.0242	0:0.5:1:1	0:0:0:0	1:0.5:0.5:1	1:0:1:0	0:0.65:0.82:1	0:0:0:0	1:0.71:0.5:1	0.82:0.01:0.88:0	1:0.57:0.97:1	1:1:1:1	1:0.6:0.93:1	0.9:1:1:1	0.6175	hyper	hyper	14199	21.5	24.5
chr1	34398916	34398917	0.0079	1:0.5:0.5:1	1:0:1:0	1:0.5:1:1	0:0:0:0	1:0.71:0.5:1	0.82:0.01:0.88:0	0.75:0.65:0.75:0.88	0:0:0:0	1:0.6:0.93:1	0.9:1:1:1	1:0.6:0.73:1	1:1:1:1	0.3755	hyper	hyper	14200	23.25	24.5
chr1	34398917	34398918	2e-04	1:0.5:1:1	0:0:0:0	1:1:1:1	0:0:0:0	0.75:0.65:0.75:0.88	0:0:0:0	1:0.89:1:1	0:0.01:0:0	1:0.6:0.73:1	1:1:1:1	1:1:1:1	1:1:1:1	0.7577	hyper	hyper	14201	21.5	24.5
chr1	34398918	34398949	0.0014	1:1:1:1	0:0:0:0	0:1:1:1	0.5:0:0:0	1:0.89:1:1	0:0.01:0:0	0:0.89:0.79:0.82	0.75:0:0:0	1:1:1:1	1:1:1:1	1:1:0.97:1	0.53:1:1:1	0.9682	hyper	hyper	14202	23.25	24.5
chr1	34398949	34398950	0.0025	0:1:1:1	0.5:0:0:0	1:1:1:1	0:0.5:0:0	0:0.89:0.79:0.82	0.75:0:0:0	1:0.76:0.79:1	0:0.61:0:0	1:1:0.97:1	0.53:1:1:1	1:0.9:1:1	1:0.93:1:1	0.4378	hyper	hyper	14203	21.5	24.5
chr1	34398950	34398958	0.0101	1:1:1:1	0:0.5:0:0	1:0:1:1	0:1:0:0	1:0.76:0.79:1	0:0.61:0:0	0.75:0:0.96:1	0.12:0.86:0:0	1:0.9:1:1	1:0.93:1:1	1:1:1:1	1:0.83:1:1	0.7338	hyper	hyper	14204	23.25	24.5
chr1	34398958	34398959	0.0406	1:0:1:1	0:1:0:0	1:0:1:1	0:0:0:0	0.75:0:0.96:1	0.12:0.86:0:0	1:0:1:0.94	0:0:0:0	1:1:1:1	1:0.83:1:1	1:1:1:1	1:1:1:1	0.4331	hyper	hyper	14205	21.5	24.5
chr1	34398959	34398968	0.0014	1:0:1:1	0:0:0:0	1:1:1:1	0:0:0:0	1:0:1:0.94	0:0:0:0	1:0.73:0.89:1	0:0:0:0	1:1:1:1	1:1:1:1	1:0.7:1:1	1:1:1:1	0.7344	hyper	hyper	14206	23.25	24.5
chr1	34398968	34398969	0.0014	1:1:1:1	0:0:0:0	0:1:1:1	0:0.5:0:0	1:0.73:0.89:1	0:0:0:0	0:0.74:1:0.94	0:0.68:0:0	1:0.7:1:1	1:1:1:1	1:0.83:1:1	1:0.93:1:1	0.9056	hyper	hyper	14207	21.5	24.5
chr1	34398969	34398983	0.0025	0:1:1:1	0:0.5:0:0	1:1:1:1	0:0.5:0:0	0:0.74:1:0.94	0:0.68:0:0	1:0.82:0.64:0.81	0:0.54:0:0	1:0.83:1:1	1:0.93:1:1	1:0.9:0.5:1	1:1:1:1	0.4996	hyper	hyper	14208	23.25	24.5
chr1	34399243	34399260	0.0126	1:0:1:1	0:0:0:0	0.5:0:1:1	0:0.5:0:0	0.9:0:0.72:0.93	0:0:0:0	0.5:0:0.9:0.67	0:0.65:0:0	1:1:0.77:1	1:1:1:1	0.97:1:1:0.63	1:0.9:1:1	0.6382	hyper	hyper	14210	35	12
chr1	34399260	34399266	0.0126	0.5:0:1:1	0:0.5:0:0	1:0:1:1	0:0:0:0	0.5:0:0.9:0.67	0:0.65:0:0	0.9:0:0.79:0.88	0:0:0:0	0.97:1:1:0.63	1:0.9:1:1	0.97:1:1:1	1:1:1:1	0.354	hyper	hyper	14211	35	12
chr1	34399266	34399284	0.0014	1:0:1:1	0:0:0:0	1:1:1:1	0:0:0:0	0.9:0:0.79:0.88	0:0:0:0	0.8:0.94:0.83:0.83	0:0:0:0	0.97:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.6435	hyper	hyper	14212	35	12
chr1	34399284	34399292	2e-04	1:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	0.8:0.94:0.83:0.83	0:0:0:0	1:0.76:0.93:0.96	0:0:0:0	1:1:1:1	1:1:1:1	1:0.97:1:1	1:1:1:1	0.8505	hyper	hyper	14213	35	12
chr1	34399292	34399301	0.0014	1:1:1:1	0:0:0:0	1:1:1:1	1:0:0:0	1:0.76:0.93:0.96	0:0:0:0	0.9:0.94:0.76:0.96	0.88:0:0:0.05	1:0.97:1:1	1:1:1:1	1:1:0.93:1	0.97:1:1:1	0.915	hyper	hyper	14214	35	12
chr1	34399301	34399313	0.0014	1:1:1:1	1:0:0:0	0.5:1:1:1	0:0:0:0	0.9:0.94:0.76:0.96	0.88:0:0:0.05	0.5:1:0.93:0.9	0:0:0:0	1:1:0.93:1	0.97:1:1:1	1:1:1:1	1:1:1:1	0.6598	hyper	hyper	14215	35	12
chr1	34399326	34399327	0.0026	1:1:1:0.5	0:0.5:0:0	1:1:0:1	0:0:0:0	1:0.75:0.8:0.67	0:0.69:0:0	0.88:0.75:0:1	0:0:0:0	1:0.8:0.77:0.73	1:0.93:1:1	1:0.87:1:1	1:1:1:1	0.6323	hyper	hyper	14218	6.5	11
chr1	34399327	34399329	0.0025	1:1:0:1	0:0:0:0	1:1:1:1	0:0.5:0.5:0	0.88:0.75:0:1	0:0:0:0	0.71:0.75:1:1	0:0.5:0.5:0	1:0.87:1:1	1:1:1:1	0.87:0.93:1:1	0.93:1:1:1	0.6562	hyper	hyper	14219	6.25	11.75
chr1	34399329	34399330	0.0031	1:1:1:1	0:0.5:0.5:0	1:1:0.5:0.5	0:0.5:0:0	0.71:0.75:1:1	0:0.5:0.5:0	0.88:1:0.4:0.33	0:0.5:0:0	0.87:0.93:1:1	0.93:1:1:1	1:1:1:0.83	1:1:1:1	0.6161	hyper	hyper	14220	6.5	11
chr1	34399330	34399336	6e-04	1:1:0.5:0.5	0:0.5:0:0	1:1:1:0.5	0:0:0:0	0.88:1:0.4:0.33	0:0.5:0:0	0.79:1:0.8:0.67	0.1:0:0:0	1:1:1:0.83	1:1:1:1	0.97:1:0.67:0.77	1:1:1:1	0.5271	hyper	hyper	14221	6.25	11.75
chr1	34399336	34399337	0.007	1:1:1:0.5	0:0:0:0	0:1:0:1	0:0:0:0	0.79:1:0.8:0.67	0.1:0:0:0	0:1:0:1	0:0:0:0	0.97:1:0.67:0.77	1:1:1:1	1:1:1:1	1:1:1:1	0.7881	hyper	hyper	14222	6.5	11
chr1	34399337	34399338	0.0256	0:1:0:1	0:0:0:0	1:0:1:0.5	0:0:0:0	0:1:0:1	0:0:0:0	1:0:1:0.67	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:0.8	1:1:1:1	0.5	hyper	hyper	14223	6.25	11.75
chr1	34399341	34399342	0.0014	1:0:1:1	0.5:0:0:0	1:1:1:1	0:0:0:0	0.79:0.25:1:1	0.55:0:0:0	1:1:0.9:1	0:0:0:0	0.77:0.5:1:1	0.97:1:1:1	1:1:1:1	1:1:1:1	0.6214	hyper	hyper	14226	6.5	11
chr1	34399342	34399355	0.0014	1:1:1:1	0:0:0:0	1:1:0:1	0.5:0:0:0	1:1:0.9:1	0:0:0:0	0.93:0.75:0:1	0.75:0:0:0	1:1:1:1	1:1:1:1	1:0.57:1:1	0.6:1:1:1	0.975	hyper	hyper	14227	6.25	11.75
chr1	34399355	34399356	0.0026	1:1:0:1	0.5:0:0:0	1:0.5:1:1	0:0:0:0	0.93:0.75:0:1	0.75:0:0:0	0.88:0.5:0.9:1	0:0:0:0	1:0.57:1:1	0.6:1:1:1	1:1:0.97:1	1:1:1:1	0.4822	hyper	hyper	14228	6.5	11
chr1	34399356	34399359	0.0014	1:0.5:1:1	0:0:0:0	1:1:1:1	0:0:0:1	0.88:0.5:0.9:1	0:0:0:0	0.79:0.75:1:1	0:0:0:1	1:1:0.97:1	1:1:1:1	1:0.7:1:1	1:1:1:1	0.8188	hyper	hyper	14229	6.25	11.75
chr1	34399359	34399360	0.0101	1:1:1:1	0:0:0:1	1:1:0:1	0:0:0:0	0.79:0.75:1:1	0:0:0:1	1:1:0:1	0:0:0:0	1:0.7:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.6339	hyper	hyper	14230	6.5	11
chr1	34399360	34399361	0.0014	1:1:0:1	0:0:0:0	0.5:0.5:1:1	0:0:0:0	1:1:0:1	0:0:0:0	0.64:0.5:1:1	0:0:0:0	1:1:1:1	1:1:1:1	0.8:0.97:1:1	1:1:1:1	0.75	hyper	hyper	14231	6.25	11.75
chr1	34399361	34399362	0.0014	0.5:0.5:1:1	0:0:0:0	0:1:1:1	0:0:0:0	0.64:0.5:1:1	0:0:0:0	0:1:0.9:0.67	0:0:0:0	0.8:0.97:1:1	1:1:1:1	1:1:1:0.57	1:1:1:1	0.7857	hyper	hyper	14232	6.5	11
chr1	34399362	34399406	0.0014	0:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	0:1:0.9:0.67	0:0:0:0	0.86:0.75:1:1	0:0:0:0	1:1:1:0.57	1:1:1:1	0.93:1:1:1	1:1:1:1	0.6417	hyper	hyper	14233	6.25	11.75
chr1	34399406	34399407	0.0014	1:1:1:1	0:0:0:0	1:1:0:1	0:0:0:0	0.86:0.75:1:1	0:0:0:0	0.88:1:0:0.67	0:0:0:0	0.93:1:1:1	1:1:1:1	1:1:1:0.7	1:1:1:1	0.9018	hyper	hyper	14234	6.5	11
chr1	34399407	34399418	0.0014	1:1:0:1	0:0:0:0	1:1:1:1	0:0:0:0	0.88:1:0:0.67	0:0:0:0	0.79:1:0.8:1	0:0:0:0	1:1:1:0.7	1:1:1:1	0.93:1:0.87:1	1:1:1:1	0.6354	hyper	hyper	14235	6.25	11.75
chr1	34399418	34399419	0.0014	1:1:1:1	0:0:0:0	1:1:1:1	1:0:0:0	0.79:1:0.8:1	0:0:0:0	0.88:0.75:1:0.67	0.8:0:0:0	0.93:1:0.87:1	1:1:1:1	0.97:0.9:0.97:0.7	0.9:1:1:1	0.8964	hyper	hyper	14236	6.5	11
chr1	34399419	34399421	0.0014	1:1:1:1	1:0:0:0	1:1:1:1	0:0:0.5:0	0.88:0.75:1:0.67	0.8:0:0:0	0.79:1:0.8:1	0:0:0.67:0	0.97:0.9:0.97:0.7	0.9:1:1:1	1:1:0.97:1	1:1:0.9:1	0.6229	hyper	hyper	14237	6.25	11.75
chr1	34399421	34399422	0.0101	1:1:1:1	0:0:0.5:0	1:0:1:1	1:0:0:0	0.79:1:0.8:1	0:0:0.67:0	0.88:0:0.9:0.67	0.8:0:0:0	1:1:0.97:1	1:1:0.9:1	1:1:1:0.63	0.7:1:1:1	0.7298	hyper	hyper	14238	6.5	11
chr1	34399422	34399427	0.0406	1:0:1:1	1:0:0:0	1:1:0:1	0:0.5:0:0	0.88:0:0.9:0.67	0.8:0:0:0	1:0.75:0:1	0:0.75:0:0	1:1:1:0.63	0.7:1:1:1	1:0.87:1:1	1:0.6:1:1	0.4104	hyper	hyper	14239	6.25	11.75
chr1	34399430	34399431	0.0014	0:1:1:0.5	0:0:0:0	0.5:1:1:1	0:0:0:0	0:1:0.8:0.67	0:0:0:0	0.62:1:0.8:1	0:0:0:0	1:1:0.93:0.77	1:1:1:1	0.87:1:0.9:1	1:1:1:1	0.6167	hyper	hyper	14242	6.5	11
chr1	34399431	34399433	3e-04	0.5:1:1:1	0:0:0:0	1:1:1:1	0:0.5:0:0	0.62:1:0.8:1	0:0:0:0	0.93:0.75:0.8:1	0:0.62:0:0	0.87:1:0.9:1	1:1:1:1	1:1:0.9:1	1:1:1:1	0.8562	hyper	hyper	14243	6.25	11.75
chr1	34399433	34399434	0.0026	1:1:1:1	0:0.5:0:0	1:1:0.5:1	1:0:0:0	0.93:0.75:0.8:1	0:0.62:0:0	0.75:1:0.6:1	0.8:0:0:0	1:1:0.9:1	1:1:1:1	0.97:1:0.8:1	0.7:1:1:1	0.7134	hyper	hyper	14244	6.5	11
chr1	34399434	34399436	0.0014	1:1:0.5:1	1:0:0:0	1:1:1:1	0:0:0:0	0.75:1:0.6:1	0.8:0:0:0	0.86:1:0.8:1	0:0:0:0	0.97:1:0.8:1	0.7:1:1:1	1:1:0.83:1	1:1:1:1	0.6375	hyper	hyper	14245	6.25	11.75
chr1	34399436	34399437	2e-04	1:1:1:1	0:0:0:0	1:0.5:1:1	0:0:0:0	0.86:1:0.8:1	0:0:0:0	0.75:0.5:0.8:1	0:0:0:0	1:1:0.83:1	1:1:1:1	1:1:0.9:1	1:1:1:1	0.9143	hyper	hyper	14246	6.5	11
chr1	34399437	34399442	0.007	1:0.5:1:1	0:0:0:0	1:0:0:1	0:0:0:0	0.75:0.5:0.8:1	0:0:0:0	1:0:0:0.67	0:0:0:0	1:1:0.9:1	1:1:1:1	1:1:1:0.7	1:1:1:1	0.7625	hyper	hyper	14247	6.25	11.75
chr1	34399442	34399443	0.007	1:0:0:1	0:0:0:0	1:1:1:1	0:0:0:0	1:0:0:0.67	0:0:0:0	0.88:1:0.9:1	0:0:0:0	1:1:1:0.7	1:1:1:1	0.97:1:0.97:1	1:1:1:1	0.4167	hyper	hyper	14248	6.5	11
chr1	34399443	34399445	3e-04	1:1:1:1	0:0:0:0	1:1:0.5:1	0:0.5:0:0	0.88:1:0.9:1	0:0:0:0	0.71:0.75:0.6:1	0:0.56:0:0	0.97:1:0.97:1	1:1:1:1	0.73:0.9:0.6:1	1:1:1:1	0.9438	hyper	hyper	14249	6.25	11.75
chr1	34399445	34399446	3e-04	1:1:0.5:1	0:0.5:0:0	1:1:1:1	0:0:0:0	0.71:0.75:0.6:1	0:0.56:0:0	1:1:1:1	0:0:0:0	0.73:0.9:0.6:1	1:1:1:1	1:1:1:1	1:1:1:1	0.6255	hyper	hyper	14250	6.5	11
chr1	34399446	34399482	0.0014	1:1:1:1	0:0:0:0	1:1:0:1	0:0:0:0	1:1:1:1	0:0:0:0	1:0.75:0:1	0:0:0:0	1:1:1:1	1:1:1:1	1:0.93:1:1	1:1:1:1	1	hyper	hyper	14251	6.25	11.75
chr1	34399482	NA	0.0286	1:1:0:1	0:0:0:0	NA	NA	1:0.75:0:1	0:0:0:0	NA	NA	1:0.93:1:1	1:1:1:1	NA	NA	0.6875	hyper	hyper	14252	6.25	11.75
chr1	34399784	34399796	0.0319	0:1:1:0.5	0.5:0:0:0	1:0:1:1	0:0:0:0.5	0:1:0.9:0.61	0.6:0:0:0	0.75:0:0.72:0.83	0:0:0:0.7	1:1:1:0.8	0.97:1:1:1	0.9:1:0.9:0.7	1:1:1:0.8	0.4769	hyper	hyper	14253	21.75	12.5
chr1	34399796	34399797	0.0026	1:0:1:1	0:0:0:0.5	1:1:1:0.5	0:0:0:0	0.75:0:0.72:0.83	0:0:0:0.7	1:0.84:0.92:0.62	0:0:0:0	0.9:1:0.9:0.7	1:1:1:0.8	1:0.97:1:0.83	1:1:1:1	0.4018	hyper	hyper	14254	21.75	12.5
chr1	34399797	34399800	0.0014	1:1:1:0.5	0:0:0:0	0.5:1:1:0	0:0:0:0	1:0.84:0.92:0.62	0:0:0:0	0.5:0.94:0.9:0	0.2:0:0:0	1:0.97:1:0.83	1:1:1:1	0.97:1:1:1	0.9:1:1:1	0.8448	hyper	hyper	14255	19.25	10.5
chr1	34399800	34399801	0.0014	0.5:1:1:0	0:0:0:0	1:1:1:1	0:0:0:0	0.5:0.94:0.9:0	0.2:0:0:0	0.86:0.94:0.84:0.92	0:0:0:0	0.97:1:1:1	0.9:1:1:1	0.77:1:1:1	1:1:1:1	0.5352	hyper	hyper	14256	21.75	12.5
chr1	34399801	34399803	2e-04	1:1:1:1	0:0:0:0	0.5:1:1:1	0:0:0:0	0.86:0.94:0.84:0.92	0:0:0:0	0.5:0.86:1:0.89	0:0:0:0	0.77:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.8894	hyper	hyper	14257	19.25	10.5
chr1	34399803	34399804	0.0026	0.5:1:1:1	0:0:0:0	1:1:0:1	0:0.5:0:0	0.5:0.86:1:0.89	0:0:0:0	0.86:0.84:0:1	0:0.72:0:0	1:1:1:1	1:1:1:1	0.9:1:1:1	1:0.63:1:1	0.8125	hyper	hyper	14258	21.75	12.5
chr1	34399804	34399815	0.0101	1:1:0:1	0:0.5:0:0	1:1:1:1	0:0:1:0	0.86:0.84:0:1	0:0.72:0:0	1:0.75:0.9:0.83	0:0:0.81:0	0.9:1:1:1	1:0.63:1:1	1:0.87:0.97:0.97	1:1:0.67:1	0.4947	hyper	hyper	14259	19.25	10.5
chr1	34399815	34399816	0.0101	1:1:1:1	0:0:1:0	1:0:0.5:1	0:0:0:0	1:0.75:0.9:0.83	0:0:0.81:0	1:0:0.68:0.85	0:0:0:0	1:0.87:0.97:0.97	1:1:0.67:1	1:1:0.77:0.97	1:1:1:1	0.6668	hyper	hyper	14260	21.75	12.5
chr1	34399816	34399817	0.0014	1:0:0.5:1	0:0:0:0	1:1:0.5:0.5	0:0:0:0	1:0:0.68:0.85	0:0:0:0	1:1:0.52:0.28	0:0:0:0	1:1:0.77:0.97	1:1:1:1	1:1:1:0.6	1:1:1:1	0.6316	hyper	hyper	14261	19.25	10.5
chr1	34399817	34399818	6e-04	1:1:0.5:0.5	0:0:0:0	1:1:0.5:1	0:0:0.5:0	1:1:0.52:0.28	0:0:0:0	0.71:0.75:0.76:0.85	0:0:0.36:0	1:1:1:0.6	1:1:1:1	0.6:1:0.57:0.83	1:1:0.97:1	0.6988	hyper	hyper	14262	21.75	12.5
chr1	34399818	34399838	0.0026	1:1:0.5:1	0:0:0.5:0	0:1:1:1	0:0:0:0	0.71:0.75:0.76:0.85	0:0:0.36:0	0:0.86:0.79:0.67	0:0:0:0	0.6:1:0.57:0.83	1:1:0.97:1	1:1:0.77:0.6	1:1:1:1	0.6767	hyper	hyper	14263	19.25	10.5
chr1	34399838	34399839	0.0256	0:1:1:1	0:0:0:0	0:1:0:1	0:0:0:0	0:0.86:0.79:0.67	0:0:0:0	0.29:0.88:0:1	0:0:0:0	1:1:0.77:0.6	1:1:1:1	0.67:1:1:1	1:1:1:1	0.5802	hyper	hyper	14264	21.75	12.5
chr1	34399839	34399842	0.0256	0:1:0:1	0:0:0:0	0:1:0.5:0.5	0:0:0:0	0.29:0.88:0:1	0:0:0:0	0:0.94:0.72:0.67	0:0:0:0	0.67:1:1:1	1:1:1:1	1:1:0.8:0.67	1:1:1:1	0.5402	hyper	hyper	14265	19.25	10.5
chr1	34399842	34399843	0.007	0:1:0.5:0.5	0:0:0:0	1:0:0.5:0.5	0:0:0:0	0:0.94:0.72:0.67	0:0:0:0	1:0:0.72:0.62	0:0:0:0	1:1:0.8:0.67	1:1:1:1	1:1:0.77:0.87	1:1:1:1	0.5838	hyper	hyper	14266	21.75	12.5
chr1	34399843	34399845	0.0101	1:0:0.5:0.5	0:0:0:0	1:1:0.5:1	0:0:0.5:0	1:0:0.72:0.62	0:0:0:0	1:0.81:0.72:0.94	0:0:0.69:0	1:1:0.77:0.87	1:1:1:1	1:0.97:0.7:0.93	1:1:0.87:1	0.5838	hyper	hyper	14267	19.25	10.5
chr1	34399845	34399846	0.0039	1:1:0.5:1	0:0:0.5:0	1:1:0:0.5	0:0:0:0	1:0.81:0.72:0.94	0:0:0.69:0	1:0.88:0:0.54	0:0:0:0	1:0.97:0.7:0.93	1:1:0.87:1	1:0.97:0.97:1	1:1:1:1	0.6966	hyper	hyper	14268	21.75	12.5
chr1	34399846	34399848	0.0014	1:1:0:0.5	0:0:0:0	1:1:0.5:1	0:0:0:0	1:0.88:0:0.54	0:0:0:0	0.75:0.78:0.72:0.72	0:0:0:0	1:0.97:0.97:1	1:1:1:1	1:0.97:0.77:0.57	1:1:1:1	0.6034	hyper	hyper	14269	19.25	10.5
chr1	34399848	34399849	0.0014	1:1:0.5:1	0:0:0:0	1:1:0:1	0:0:0:0	0.75:0.78:0.72:0.72	0:0:0:0	1:0.81:0:0.77	0:0:0:0	1:0.97:0.77:0.57	1:1:1:1	1:1:1:0.97	1:1:1:1	0.7435	hyper	hyper	14270	21.75	12.5
chr1	34399849	34399853	0.0026	1:1:0:1	0:0:0:0	0.5:1:1:1	0:0:0:0.5	1:0.81:0:0.77	0:0:0:0	0.5:0.92:0.79:0.78	0:0:0:0.7	1:1:1:0.97	1:1:1:1	1:1:0.77:0.93	1:1:1:0.7	0.6454	hyper	hyper	14271	19.25	10.5
chr1	34399853	34399854	0.0039	0.5:1:1:1	0:0:0:0.5	1:1:0.5:0	0:0:0:0	0.5:0.92:0.79:0.78	0:0:0:0.7	0.86:0.78:0.48:0	0:0:0:0	1:1:0.77:0.93	1:1:1:0.7	0.97:1:1:1	1:1:1:1	0.5719	hyper	hyper	14272	21.75	12.5
chr1	34399863	34399864	0.007	1:1:1:1	1:0.5:1:0	1:1:1:1	0:0:0:0	1:0.81:0.79:0.94	0.8:0.37:0.81:0	0.86:0.91:0.8:0.92	0:0:0:0	1:1:0.73:1	0.83:0.97:0.7:1	1:1:0.87:1	1:1:1:1	0.3905	hyper	hyper	14274	21.75	12.5
chr1	34399864	34399866	0.007	1:1:1:1	0:0:0:0	1:0:0:1	0:0:0:0	0.86:0.91:0.8:0.92	0:0:0:0	1:0:0:0.78	0:0:0:0	1:1:0.87:1	1:1:1:1	1:1:1:0.8	1:1:1:1	0.8716	hyper	hyper	14275	19.25	10.5
chr1	34399867	34399875	0.0145	1:1:0.5:0.5	1:0:0:0	0:1:1:1	0:0:0:0	1:0.94:0.6:0.46	0.8:0:0:0	0:0.92:0.93:0.83	0:0:0:0	1:1:0.97:1	0.87:1:1:1	1:1:1:0.97	1:1:1:1	0.5498	hyper	hyper	14277	19.25	10.5
chr1	34399875	34399876	0.0014	0:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	0:0.92:0.93:0.83	0:0:0:0	0.86:1:0.8:0.85	0:0:0:0	1:1:1:0.97	1:1:1:1	0.97:1:0.97:1	1:1:1:1	0.6702	hyper	hyper	14278	21.75	12.5
chr1	34399876	34399877	2e-04	1:1:1:1	0:0:0:0	1:1:1:1	0:0:0:0	0.86:1:0.8:0.85	0:0:0:0	0.75:0.64:1:1	0:0:0:0	0.97:1:0.97:1	1:1:1:1	0.97:0.57:1:1	1:1:1:1	0.8758	hyper	hyper	14279	19.25	10.5
chr1	34399877	34399878	0.0014	1:1:1:1	0:0:0:0	1:1:0:1	0:0:0.5:0	0.75:0.64:1:1	0:0:0:0	1:0.97:0:1	0:0:0.55:0	0.97:0.57:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.8472	hyper	hyper	14280	21.75	12.5
chr1	34399878	34399890	0.0319	1:1:0:1	0:0:0.5:0	0.5:1:0:1	0:0.5:0:0	1:0.97:0:1	0:0:0.55:0	0.5:0.69:0:0.94	0:0.68:0:0	1:1:1:1	1:1:1:1	1:0.5:1:1	1:0.87:1:1	0.6058	hyper	hyper	14281	19.25	10.5
chr1	34399891	34399903	0.0319	0.5:0:1:0	0.5:0:0:0	1:1:1:1	0:0:0:0.5	0.71:0:0.92:0	0.4:0:0:0	0.71:0.94:0.84:1	0:0:0:0.62	0.63:1:1:1	0.93:1:1:1	0.57:1:1:1	1:1:1:0.9	0.3086	hyper	hyper	14283	19.25	10.5
chr1	34400118	34400119	0.0014	1:1:1:1	0:0:0:0	1:0:1:1	0:0.5:0:0	0.83:1:0.83:0.83	0:0:0:0	0.86:0:0.94:1	0:0.7:0:0	0.9:1:0.93:1	1:1:1:1	1:1:1:1	1:0.83:1:1	0.875	hyper	hyper	14288	6.25	18.5
chr1	34400119	34400120	0.0126	1:0:1:1	0:0.5:0:0	1:0:1:0.5	0:0:0:0	0.86:0:0.94:1	0:0.7:0:0	0.83:0:0.92:0.67	0:0:0:0	1:1:1:1	1:0.83:1:1	1:1:1:0.8	1:1:1:1	0.5236	hyper	hyper	14289	6.25	21
chr1	34400120	34400130	0.0256	1:0:1:0.5	0:0:0:0	1:0:1:0	0:0:0:0	0.83:0:0.92:0.67	0:0:0:0	1:0:1:0	0:0:0.08:0	1:1:1:0.8	1:1:1:1	1:1:1:1	1:1:1:1	0.6042	hyper	hyper	14290	6.25	18.5
chr1	34400130	34400131	0.007	1:0:1:0	0:0:0:0	1:1:1:1	0:0:0:0	1:0:1:0	0:0:0.08:0	0.83:1:0.75:0.83	0:0:0:0	1:1:1:1	1:1:1:1	1:1:0.9:1	1:1:1:1	0.4808	hyper	hyper	14291	6.25	21
chr1	34400131	34400133	0.0014	1:1:1:1	0:0:0:0	1:0:1:1	0:0:0:0	0.83:1:0.75:0.83	0:0:0:0	0.86:0:0.81:1	0:0:0:0	1:1:0.9:1	1:1:1:1	0.97:1:1:1	1:1:1:1	0.8542	hyper	hyper	14292	6.25	18.5
chr1	34400133	34400134	0.007	1:0:1:1	0:0:0:0	0:1:1:1	0:0:0:0	0.86:0:0.81:1	0:0:0:0	0:1:1:1	0:0:0:0	0.97:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.6674	hyper	hyper	14293	6.25	21
chr1	34400134	34400145	0.007	0:1:1:1	0:0:0:0	0:1:1:1	0:0:0:0	0:1:1:1	0:0:0:0	0:1:1:1	0:0:0:0	1:1:1:1	1:1:1:1	1:1:1:1	1:1:1:1	0.75	hyper	hyper	14294	6.25	18.5
chr1	34400145	34400146	0.0406	0:1:1:1	0:0:0:0	1:0:1:1	0:0:1:0	0:1:1:1	0:0:0:0	1:0:0.75:1	0:0:0.88:0	1:1:1:1	1:1:1:1	1:1:0.83:1	1:1:1:1	0.75	hyper	hyper	14295	6.25	21
chr1	34400146	34400152	0.0101	1:0:1:1	0:0:1:0	1:1:1:1	0:0:0:0	1:0:0.75:1	0:0:0.88:0	0.86:1:0.75:1	0:0:0:0	1:1:0.83:1	1:1:1:1	1:1:0.73:1	1:1:1:1	0.4688	hyper	hyper	14296	6.25	18.5
chr1	34400152	34400153	2e-04	1:1:1:1	0:0:0:0	1:1:0.5:1	0:0:0:0	0.86:1:0.75:1	0:0:0:0	0.83:1:0.67:0.83	0:0:0:0	1:1:0.73:1	1:1:1:1	0.93:1:0.7:0.97	1:1:1:1	0.9018	hyper	hyper	14297	6.25	21
chr1	34442354	34442360	0.0014	1:0.5:1:0.5	0:0:0:0	1:0:0.5:1	0:0:0:0	0.85:0.6:1:0.71	0:0:0:0	0.7:0:0.4:0.86	0:0:0:0.25	1:1:1:0.5	1:1:1:1	0.53:1:0.97:0.8	1:1:1:0.73	0.7911	hyper	hyper	14398	12.25	9
