chr	start	end	CpG	test1_DMRfinder-N	test1_DMRfinder-X	test2_DMRfinder-N	test2_DMRfinder-X	test3_DMRfinder-N	test3_DMRfinder-X	test4_DMRfinder-N	test4_DMRfinder-X	control1_DMRfinder-N	control1_DMRfinder-X	control2_DMRfinder-N	control2_DMRfinder-X	control3_DMRfinder-N	control3_DMRfinder-X	control4_DMRfinder-N	control4_DMRfinder-X
chr21	24863056	24863124	4	NA	NA	56	24	368	184	236	91	324	192	108	54	236	105	196	95
chr21	24928652	24928720	4	NA	NA	48	19	100	39	20	4	84	40	104	60	632	271	NA	NA
chr21	24935143	24935306	4	60	29	132	84	NA	NA	111	79	30	16	114	80	105	54	NA	NA
chr21	24974466	24974600	8	35	20	140	95	588	341	735	442	63	39	56	30	210	115	35	20
chr21	24982906	24982976	7	NA	NA	NA	NA	32	16	289	163	27	18	91	56	236	125	163	93
chr21	25008513	25008658	11	563	305	176	93	156	95	396	223	676	319	243	122	360	205	341	138
chr21	25018989	25019169	4	60	45	63	26	NA	NA	150	85	30	12	87	47	66	39	267	174
chr21	25025656	25025791	9	440	282	168	97	104	70	32	22	64	40	64	44	448	289	64	40
chr21	25027598	25027802	6	135	87	40	23	1165	713	NA	NA	170	98	360	237	125	66	NA	NA
chr21	25028254	25028457	15	620	368	80	49	150	76	40	16	475	248	590	352	1120	649	55	36
chr21	25064189	25064288	6	165	95	81	43	143	86	NA	NA	41	25	297	153	45	18	58	30
chr21	25106757	25106889	10	171	100	324	175	36	19	351	191	288	181	99	49	297	167	216	157
chr21	25115582	25115716	8	294	169	84	44	63	42	42	32	119	59	NA	NA	161	89	420	244
chr21	25159344	25159482	8	NA	NA	42	31	NA	NA	NA	NA	210	118	196	101	196	109	868	511
chr21	25179303	25179525	13	222	110	309	160	246	103	379	170	157	75	117	64	130	67	116	59
chr21	25180220	25180385	6	140	95	155	74	85	47	20	11	230	97	NA	NA	300	181	170	96
chr21	25211759	25211872	6	50	29	265	135	480	337	115	61	175	94	145	74	25	9	65	38
chr21	25229600	25229853	12	243	132	199	99	297	159	447	215	566	272	667	345	314	155	591	258
chr21	25233802	25234036	9	275	160	251	130	189	102	185	90	61	39	37	26	291	192	493	258
chr21	25250720	25250925	8	119	66	NA	NA	NA	NA	NA	NA	56	35	147	93	49	32	196	117
chr21	25259635	25259716	4	112	58	44	24	32	11	28	12	164	64	164	87	84	42	68	38
chr21	25277206	25277386	8	140	86	NA	NA	147	75	NA	NA	203	135	266	147	420	291	35	22
chr21	25295027	25295081	5	325	170	25	14	60	31	50	21	180	84	200	92	195	87	80	29
chr21	25318304	25318511	12	350	233	131	86	590	377	493	309	431	260	65	43	32	16	NA	NA
chr21	25320466	25320667	7	223	114	32	9	314	176	215	96	83	39	96	37	287	134	254	92
chr21	25337178	25337267	4	149	107	136	76	24	12	36	25	NA	NA	373	195	160	76	95	59
chr21	25351357	25351497	12	374	173	143	94	715	436	132	69	132	79	660	391	1111	667	429	279
chr21	25384696	25384800	6	NA	NA	NA	NA	144	83	108	75	30	26	NA	NA	NA	NA	60	41
chr21	25450069	25450198	4	NA	NA	60	41	105	71	270	198	75	46	75	59	93	52	NA	NA
chr21	25486747	25486818	4	112	52	516	270	96	54	20	8	80	43	204	78	184	55	28	13
chr21	25498871	25499069	14	398	217	446	264	232	75	1074	681	218	107	1102	606	82	55	1148	659
chr21	25512701	25512953	12	469	222	636	373	229	128	97	50	128	72	860	579	513	265	404	218
chr21	25580950	25580993	5	155	76	185	82	630	265	295	124	105	57	25	12	55	21	605	327
chr21	25581223	25581395	16	190	77	633	301	250	144	487	262	198	93	573	276	846	377	363	174
chr21	25618064	25618316	9	136	67	80	39	204	117	356	208	64	36	24	16	96	52	196	100
chr21	25653577	25653713	4	NA	NA	39	20	108	69	378	187	24	18	147	85	66	48	96	63
chr21	25682611	25682680	7	70	28	735	367	217	124	91	39	112	58	91	40	56	28	189	103
chr21	25709195	25709263	3	36	14	NA	NA	96	40	NA	NA	NA	NA	81	26	135	52	63	19
chr21	25839955	25840157	13	291	178	472	284	886	519	832	369	325	181	377	241	335	193	NA	NA
chr21	25871161	25871294	7	162	91	180	106	24	13	276	190	480	286	138	85	144	89	NA	NA
chr21	25927074	25927168	3	60	31	46	31	43	20	144	56	200	69	53	23	309	191	38	17
chr21	25927451	25927612	5	252	160	NA	NA	168	61	288	183	20	13	20	12	68	47	60	39
chr21	25938038	25938209	9	56	33	152	101	NA	NA	96	66	168	101	192	128	232	112	104	65
chr21	25960597	25960802	9	664	429	96	66	1152	689	328	230	832	501	792	452	NA	NA	24	17
chr21	25964067	25964204	7	60	35	180	112	150	73	408	222	60	34	24	13	120	70	78	53
chr21	26008087	26008233	7	414	233	336	216	NA	NA	426	209	312	198	NA	NA	126	89	NA	NA
chr21	26011328	26011486	3	NA	NA	NA	NA	166	102	28	17	82	24	NA	NA	NA	NA	28	15
chr21	26015575	26015712	6	135	87	485	296	280	118	90	52	70	48	85	57	260	159	220	129
chr21	26016588	26016720	3	78	45	NA	NA	NA	NA	88	55	180	110	58	37	170	107	214	103
chr21	26062473	26062611	5	136	93	52	36	248	149	NA	NA	36	27	NA	NA	148	95	NA	NA
chr21	26068675	26068878	5	82	57	215	81	113	69	202	129	58	43	116	68	47	31	365	195
chr21	26139901	26140039	8	154	78	189	116	861	560	91	60	448	276	511	271	42	19	126	65
chr21	26181010	26181054	3	48	34	74	34	46	34	109	49	63	43	47	25	500	251	23	10
chr21	26181156	26181181	3	52	31	71	32	44	26	101	67	62	40	43	25	525	368	NA	NA
chr21	26210234	26210436	10	197	127	242	149	712	430	NA	NA	150	98	937	596	NA	NA	63	38
chr21	26212568	26212809	19	90	44	348	194	790	476	716	441	1092	648	594	316	342	206	1058	635
chr21	26219317	26219483	4	76	33	134	66	166	63	99	56	132	86	93	41	51	20	134	23
chr21	26278097	26278245	8	490	304	630	394	70	38	105	64	595	402	84	45	224	146	21	15
chr21	26332666	26332868	8	324	197	136	66	68	34	276	153	44	27	332	161	172	97	252	150
chr21	26388646	26388696	5	95	45	75	31	45	12	40	21	220	116	NA	NA	105	41	70	41
chr21	26396223	26396417	11	218	106	116	72	525	303	154	82	49	20	77	48	87	50	376	224
chr21	26398489	26398692	17	46	30	89	40	650	349	32	21	109	50	577	331	165	101	257	153
chr21	26424232	26424428	10	255	160	215	127	440	260	195	130	115	64	385	247	165	110	175	95
chr21	26426139	26426270	8	497	290	406	272	133	74	1120	685	98	52	910	511	119	57	98	48
chr21	26491064	26491206	10	31	20	200	116	660	280	621	330	527	229	237	118	368	206	582	296
chr21	26542508	26542709	6	25	13	118	48	153	100	289	155	48	27	155	89	129	76	208	108
chr21	26558165	26558299	4	39	24	39	26	36	25	48	25	291	184	NA	NA	192	108	120	69
chr21	26615062	26615138	5	NA	NA	50	35	32	17	86	51	NA	NA	101	63	NA	NA	159	85
chr21	26626157	26626294	7	126	77	138	71	882	503	24	16	216	121	234	123	90	55	120	72
chr21	26656364	26656388	3	28	13	22	12	241	174	NA	NA	NA	NA	76	41	78	44	NA	NA
chr21	26656505	26656537	3	27	19	NA	NA	249	146	NA	NA	NA	NA	74	48	77	55	NA	NA
chr21	26657665	26657827	4	72	40	42	30	330	203	NA	NA	57	31	96	62	105	61	NA	NA
chr21	26722757	26722831	7	300	189	387	214	85	45	83	46	79	57	95	58	NA	NA	254	151
chr21	26734225	26734354	8	175	89	364	220	371	207	28	21	735	503	308	236	483	394	21	18
chr21	26737090	26737224	8	133	90	294	237	84	62	441	332	378	314	714	648	84	70	322	273
chr21	26751761	26751839	3	54	29	NA	NA	153	95	81	25	66	36	327	143	243	142	36	22
chr21	26754636	26754834	3	NA	NA	22	11	26	13	NA	NA	156	106	139	69	NA	NA	NA	NA
chr21	26756486	26756621	10	405	359	126	96	279	256	36	29	270	182	99	71	NA	NA	630	548
chr21	26859111	26859245	6	65	54	25	23	215	159	475	297	NA	NA	35	29	35	26	80	56
chr21	26923059	26923079	3	84	61	NA	NA	32	24	46	43	27	21	NA	NA	95	83	NA	NA
chr21	26931637	26931855	9	43	35	63	51	118	85	175	158	72	58	302	270	57	45	270	224
chr21	26934273	26934772	50	1580	161	2206	211	1884	127	2221	142	1522	93	2205	244	1158	64	2991	245
chr21	26949494	26949698	7	258	8	296	37	NA	NA	179	0	260	71	356	44	28	2	218	22
chr21	26960345	26960548	11	99	11	270	10	120	7	89	20	350	31	387	56	130	11	299	14
chr21	26968458	26968503	4	92	14	108	0	NA	NA	NA	NA	NA	NA	36	0	24	5	32	7
chr21	26979636	26980131	43	1618	378	651	255	548	121	2276	637	1022	56	655	18	2360	109	590	42
chr21	27011846	27012066	12	310	129	563	242	337	162	112	38	190	89	94	52	307	160	365	190
chr21	27012615	27012668	6	330	162	NA	NA	270	142	54	23	486	185	24	11	60	24	282	90
chr21	27038729	27038797	4	NA	NA	208	93	192	69	196	67	228	55	200	60	20	7	428	227
chr21	27054150	27054218	7	101	47	65	16	156	72	44	15	226	73	135	55	57	27	60	26
chr21	27067934	27068188	19	734	339	262	125	924	462	568	189	880	436	462	244	118	63	454	188
chr21	27071756	27071861	8	24	10	296	115	272	83	160	109	80	36	136	63	NA	NA	88	41
chr21	27104998	27105014	3	100	63	28	17	42	27	88	50	120	28	42	18	34	26	NA	NA
chr21	27105666	27105734	4	24	6	176	57	100	42	64	28	52	20	256	108	76	32	312	143
chr21	27106829	27107101	19	440	56	377	2	455	58	712	111	800	134	135	5	187	8	117	7
chr21	27107137	27107393	19	681	75	1416	196	1379	94	448	25	326	0	451	13	356	6	468	61
chr21	27107671	27107844	16	1889	182	340	25	295	32	276	27	370	21	104	0	942	3	513	32
chr21	27107947	27108125	17	215	22	191	15	547	41	535	97	152	12	552	43	1183	41	755	5
chr21	27148639	27148687	3	NA	NA	69	45	NA	NA	21	13	63	40	81	53	75	25	75	48
chr21	27150647	27151052	32	529	479	367	360	477	421	223	188	473	446	398	343	1044	1006	309	280
chr21	27151709	27152081	22	557	431	954	777	1105	863	564	454	713	502	592	450	292	204	453	378
chr21	27153151	27153349	12	371	361	394	339	207	146	360	293	124	111	156	133	767	659	289	211
chr21	27160299	27160433	7	606	591	216	181	432	342	72	65	NA	NA	732	652	30	26	132	127
chr21	27169978	27170111	7	228	186	NA	NA	162	133	234	181	NA	NA	144	132	60	52	72	62
chr21	27172903	27173038	6	225	199	45	43	110	101	855	767	340	292	250	228	NA	NA	215	210
chr21	27184740	27184897	6	NA	NA	60	52	425	398	40	40	95	90	NA	NA	20	20	NA	NA
chr21	27192599	27192667	5	295	162	20	9	45	35	NA	NA	145	113	85	61	NA	NA	125	98
chr21	27200769	27200972	18	42	36	1529	1367	106	79	697	597	236	196	396	330	417	327	185	167
chr21	27245075	27245279	16	384	328	NA	NA	1587	1414	99	79	500	423	1247	1197	932	813	112	100
chr21	27246378	27246447	5	50	35	400	302	315	201	30	24	225	175	NA	NA	55	40	190	145
chr21	27247477	27247627	8	524	487	348	342	730	559	71	65	111	89	270	256	277	232	159	133
chr21	27247749	27247830	3	151	148	227	211	NA	NA	54	49	79	69	40	38	98	91	66	65
chr21	27249286	27249489	9	815	619	234	225	509	487	132	99	381	369	NA	NA	570	561	107	84
chr21	27273035	27273157	6	35	31	30	28	265	259	90	89	450	334	40	32	80	78	NA	NA
chr21	27281297	27281431	9	NA	NA	96	86	200	170	176	174	432	342	504	484	312	297	248	197
chr21	27287026	27287160	9	248	237	48	46	440	414	72	67	320	304	216	178	176	162	NA	NA
chr21	27290817	27291162	24	120	115	108	105	551	525	756	675	312	283	359	319	504	433	636	586
chr21	27301242	27301327	5	NA	NA	NA	NA	40	30	75	59	40	26	150	117	75	60	45	33
chr21	27302589	27302653	4	132	86	548	390	72	47	196	147	184	122	52	29	32	24	84	52
chr21	27327948	27328161	9	110	99	1166	1153	489	447	38	33	530	452	22	19	464	441	203	193
chr21	27337016	27337122	4	44	40	NA	NA	64	61	28	27	NA	NA	88	82	40	40	88	56
chr21	27371271	27371531	7	NA	NA	62	40	43	32	218	139	107	91	48	35	162	135	463	375
chr21	27376766	27376902	9	NA	NA	32	28	424	383	120	116	200	190	120	105	72	68	376	322
chr21	27381997	27382262	9	291	238	68	50	249	164	145	133	305	202	412	370	199	176	NA	NA
chr21	27389370	27389651	10	165	117	260	213	125	105	360	311	135	120	135	95	135	77	375	354
chr21	27399800	27399863	3	147	135	137	124	29	22	80	58	NA	NA	207	172	77	55	125	114
chr21	27437208	27437452	9	372	341	75	63	557	535	172	161	317	284	99	80	74	64	278	264
chr21	27449129	27449235	6	NA	NA	115	112	195	185	50	43	200	187	125	101	NA	NA	485	466
chr21	27452161	27452364	6	NA	NA	110	109	310	287	NA	NA	190	178	405	331	90	88	40	34
chr21	27456647	27456849	16	1004	935	443	422	69	54	818	663	627	619	42	38	277	264	348	321
chr21	27466154	27466326	8	210	190	42	35	28	25	168	144	245	222	245	231	56	47	140	124
chr21	27467323	27467456	5	40	38	100	77	32	30	140	140	196	192	180	163	NA	NA	76	55
chr21	27470119	27470253	7	630	587	102	90	132	125	162	159	90	75	258	254	240	208	84	73
chr21	27474427	27474616	12	375	246	360	303	279	198	87	65	585	391	660	511	174	135	297	200
chr21	27480924	27481057	7	48	38	186	160	402	367	24	24	204	192	156	119	384	299	54	48
chr21	27541949	27542263	36	329	17	734	53	1018	62	1658	175	1174	49	1185	49	395	45	688	74
chr21	27542632	27543045	51	1601	127	609	26	437	31	1229	135	937	90	1806	125	2001	332	2181	225
chr21	27543053	27543460	45	1400	117	1508	163	192	21	1612	145	2182	78	777	87	2694	322	1471	193
chr21	27544695	27544835	4	183	61	63	20	165	0	42	3	120	0	231	23	183	23	33	0
chr21	27545383	27545451	7	203	39	77	13	21	2	147	29	77	0	63	8	252	0	112	13
chr21	27551780	27551848	4	71	2	61	3	86	2	577	143	NA	NA	191	34	411	36	197	29
chr21	27564892	27564958	4	44	10	104	26	NA	NA	39	0	549	3	34	1	NA	NA	104	0
chr21	27584762	27584881	5	284	20	28	5	28	0	24	0	NA	NA	36	6	52	8	116	6
chr21	27613576	27613718	8	588	65	133	6	294	14	140	17	21	2	637	61	280	65	273	78
chr21	27628494	27628670	5	212	17	348	65	60	6	372	33	120	10	24	3	72	5	52	6
chr21	27656232	27656452	6	133	0	159	9	NA	NA	213	17	55	1	781	86	164	15	NA	NA
chr21	27657397	27657502	8	152	1	48	4	64	0	416	85	72	6	72	6	32	0	400	2
chr21	27659092	27659246	7	108	18	60	3	102	20	258	32	570	24	NA	NA	126	6	NA	NA
chr21	27659823	27660025	12	660	105	1041	76	298	17	290	29	500	28	117	27	326	18	472	0
chr21	27691543	27691745	11	152	9	173	3	328	13	832	130	205	16	539	110	775	98	65	8
chr21	27702873	27702932	3	22	0	NA	NA	113	14	77	10	NA	NA	174	22	71	35	368	0
chr21	27707235	27707449	5	NA	NA	NA	NA	NA	NA	163	32	93	0	99	21	NA	NA	113	16
chr21	27762737	27762939	4	326	1	30	2	99	7	30	1	383	0	132	17	102	1	54	3
chr21	27806829	27807033	12	132	11	365	49	776	94	92	0	1141	83	70	4	384	24	974	201
chr21	27808836	27808904	3	378	49	240	0	60	0	48	13	81	0	153	1	129	0	NA	NA
chr21	27873380	27873580	8	322	41	35	2	462	48	98	9	175	18	NA	NA	119	19	84	15
chr21	27916015	27916149	5	116	8	180	1	72	19	72	23	36	1	32	5	76	15	296	33
chr21	27917979	27918059	5	260	18	20	5	210	1	75	14	140	6	140	9	50	0	60	17
chr21	27945125	27945551	33	384	200	562	325	1134	570	914	464	1148	97	794	228	586	110	1167	179
chr21	27959216	27959350	3	140	105	56	38	NA	NA	74	39	38	12	NA	NA	70	48	78	44
chr21	27999446	27999579	6	655	445	30	16	120	68	160	103	100	67	40	24	315	170	70	40
chr21	28081979	28082031	3	33	19	363	181	129	31	204	88	30	11	66	17	69	31	81	38
chr21	28105190	28105278	4	32	15	NA	NA	36	15	232	91	32	17	72	31	116	59	60	30
chr21	28114989	28115094	5	35	16	95	70	NA	NA	65	40	40	31	NA	NA	NA	NA	90	52
chr21	28142880	28143014	12	NA	NA	1133	720	110	66	132	82	33	19	88	48	396	228	308	210
chr21	28197018	28197229	12	495	312	319	198	242	156	22	12	1386	876	1144	735	242	150	990	586
chr21	28212723	28212803	3	75	32	54	18	120	29	60	22	51	25	NA	NA	102	51	30	12
chr21	28214701	28214778	3	NA	NA	24	10	105	42	153	51	45	8	126	58	147	54	78	35
chr21	28215452	28215853	10	109	13	295	118	197	16	517	63	154	18	322	25	164	51	230	23
chr21	28216572	28217052	52	661	29	2794	217	808	59	1100	51	668	45	1572	79	1904	140	1601	110
chr21	28217060	28217521	40	621	6	1998	111	912	24	672	35	492	39	883	32	792	61	808	34
chr21	28217553	28218018	38	515	30	768	27	607	35	276	7	1008	16	783	38	997	7	2064	26
chr21	28218671	28218741	6	192	47	48	5	NA	NA	582	78	54	6	54	0	234	39	132	0
chr21	28218949	28219165	17	1502	359	204	80	148	22	406	66	542	54	389	77	311	59	362	82
chr21	28228445	28228609	3	NA	NA	114	21	54	1	56	3	NA	NA	NA	NA	68	21	86	13
chr21	28306946	28307282	13	253	117	64	5	255	32	283	80	284	6	703	80	309	77	469	34
chr21	28319845	28319962	3	44	21	NA	NA	20	9	38	19	NA	NA	34	12	72	8	84	43
chr21	28337857	28338042	24	387	99	1346	276	698	54	1331	186	708	115	325	33	363	86	877	194
chr21	28338331	28338617	31	583	101	1192	196	992	173	1239	210	1084	273	615	134	816	141	1093	218
chr21	28339102	28339156	8	24	0	24	5	48	5	40	11	160	13	368	73	152	32	72	18
chr21	28339619	28339711	4	183	20	NA	NA	20	0	138	10	120	1	44	0	24	2	NA	NA
chr21	28340008	28340154	11	652	108	120	14	110	13	859	124	185	31	705	70	98	14	160	22
chr21	28371981	28372103	3	32	31	116	103	NA	NA	68	51	30	14	NA	NA	NA	NA	98	86
chr21	28387805	28387915	7	120	84	30	30	168	144	204	145	54	48	198	171	24	14	258	180
chr21	28398072	28398210	5	32	19	140	92	NA	NA	76	62	228	172	NA	NA	340	281	120	97
chr21	28402792	28402927	10	396	333	99	77	126	93	288	237	45	36	27	21	72	51	297	260
chr21	28433743	28433880	7	462	390	132	104	468	441	132	95	360	315	1242	1162	204	167	102	83
chr21	28479158	28479286	3	108	99	198	171	26	19	NA	NA	66	28	NA	NA	86	77	84	60
chr21	28488628	28488828	15	316	250	274	162	348	246	264	178	520	399	134	111	476	365	546	443
chr21	28508966	28509030	4	NA	NA	214	173	58	39	116	106	23	22	325	266	123	86	70	65
chr21	28515816	28516200	31	585	521	999	800	1110	938	708	541	995	747	975	794	1021	848	959	834
chr21	28561970	28562107	9	192	156	80	74	352	299	672	595	56	36	88	67	NA	NA	184	121
chr21	28594255	28594392	4	183	163	42	38	72	45	69	30	309	176	NA	NA	78	59	126	118
chr21	28674848	28674982	6	205	156	NA	NA	45	36	NA	NA	30	26	185	151	185	157	65	46
chr21	28677955	28678158	8	21	15	98	82	77	72	511	381	119	95	336	229	119	90	28	24
chr21	28702660	28702863	11	37	32	110	91	NA	NA	225	180	27	25	63	60	235	160	141	119
chr21	28715253	28715389	10	207	184	270	198	243	172	414	341	72	47	882	757	135	120	135	119
chr21	28720313	28720456	8	63	59	294	269	700	530	189	167	245	200	112	93	NA	NA	126	105
chr21	28757461	28757603	7	NA	NA	276	166	78	71	192	174	288	196	84	74	42	33	NA	NA
chr21	28784396	28784490	5	84	76	27	22	118	89	NA	NA	141	118	127	102	NA	NA	153	129
chr21	28788583	28788789	7	200	164	546	467	268	210	144	123	112	77	135	90	121	97	35	27
chr21	28792962	28793080	6	75	60	35	28	235	199	285	237	95	78	120	105	135	128	690	609
chr21	28828686	28828817	7	21	15	105	94	28	27	49	36	364	282	NA	NA	259	219	49	38
chr21	28840701	28840998	15	254	179	501	435	161	123	152	129	349	236	484	380	182	144	371	303
chr21	28843394	28843603	14	600	428	252	189	344	276	406	255	194	166	590	463	436	344	334	224
chr21	28874432	28874500	5	120	88	NA	NA	80	54	130	92	30	18	20	12	45	34	25	15
chr21	28938325	28938531	4	104	55	146	107	104	57	NA	NA	266	160	100	60	182	111	228	149
chr21	28963689	28963798	4	55	28	85	67	101	68	34	23	40	25	92	72	NA	NA	42	32
chr21	29036463	29036603	4	NA	NA	117	103	102	92	183	141	150	135	30	23	39	27	57	46
chr21	29048155	29048357	13	527	406	22	17	372	325	389	310	98	77	304	261	NA	NA	22	20
chr21	29192535	29192670	9	232	202	720	594	160	119	40	30	96	82	136	122	120	101	128	100
chr21	29201102	29201298	11	150	119	40	35	90	66	NA	NA	110	94	450	366	80	54	NA	NA
chr21	29209178	29209259	3	30	19	27	17	NA	NA	75	40	33	21	48	26	60	37	60	36
chr21	29231640	29231708	4	108	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	36	NA	NA
chr21	29234056	29234124	3	NA	NA	30	16	87	53	81	20	27	9	42	14	NA	NA	21	12
chr21	29254087	29254155	3	264	170	39	17	162	102	129	69	168	107	45	30	363	241	147	69
chr21	29257561	29257878	22	266	170	566	361	407	329	512	391	89	58	1648	1407	710	566	789	593
chr21	29258222	29258290	6	282	168	NA	NA	36	24	48	30	276	178	84	67	132	87	366	256
chr21	29280014	29280059	4	244	141	132	54	68	38	NA	NA	108	70	44	31	NA	NA	100	51
chr21	29304804	29304932	9	27	22	45	37	NA	NA	207	187	72	63	333	298	NA	NA	135	100
chr21	29319167	29319299	8	77	65	84	55	NA	NA	287	207	259	235	84	62	21	15	343	224
chr21	29321163	29321231	6	72	50	690	383	216	164	402	288	NA	NA	306	209	264	178	318	231
chr21	29343149	29343351	14	192	161	181	147	456	329	928	768	252	210	219	177	132	94	685	468
chr21	29352830	29352878	3	114	104	97	83	48	38	193	141	77	50	68	64	NA	NA	NA	NA
chr21	29391771	29391874	3	NA	NA	82	60	58	52	42	41	NA	NA	38	33	74	61	62	47
chr21	29430579	29430890	15	313	209	395	307	149	123	270	237	751	553	1166	925	219	197	597	500
chr21	29434774	29434905	5	48	34	32	28	NA	NA	140	104	84	72	112	101	336	301	232	188
chr21	29484552	29484755	10	223	168	57	55	136	126	41	35	828	641	72	56	146	126	86	70
chr21	29506567	29506710	4	99	51	105	98	NA	NA	27	22	84	70	54	42	126	102	NA	NA
chr21	29514184	29514387	9	32	22	152	93	104	69	568	523	168	155	160	132	168	138	24	20
chr21	29579148	29579180	3	NA	NA	121	84	25	24	45	31	29	21	83	76	208	164	NA	NA
chr21	29579282	29579350	7	34	30	311	220	65	49	126	98	70	58	214	152	539	385	NA	NA
chr21	29636250	29636387	4	213	203	138	123	132	112	NA	NA	21	17	153	82	159	146	183	154
chr21	29701134	29701328	7	NA	NA	691	607	NA	NA	24	13	NA	NA	137	113	286	220	359	256
chr21	29736834	29737039	9	28	24	92	78	337	301	115	74	92	81	106	87	NA	NA	113	83
chr21	29774704	29774775	7	21	15	203	138	133	84	1183	845	651	473	189	138	98	59	112	62
chr21	29786474	29786614	10	351	284	252	198	369	299	396	308	486	365	NA	NA	306	263	216	175
chr21	29859644	29859840	5	52	48	NA	NA	183	164	NA	NA	31	25	252	195	52	48	642	530
chr21	29910604	29910732	5	50	47	40	28	50	47	55	45	115	82	30	24	59	42	25	21
chr21	29914293	29914492	7	77	62	92	70	414	302	319	279	98	84	180	120	NA	NA	24	23
chr21	29935801	29936191	25	226	168	517	395	149	104	345	304	215	197	1938	1446	168	133	744	537
chr21	29936220	29936632	16	599	470	328	223	612	441	301	163	781	498	533	448	438	340	252	186
chr21	29961014	29961161	9	104	88	544	412	256	224	32	18	NA	NA	680	564	360	244	NA	NA
chr21	30015195	30015321	4	NA	NA	29	29	53	51	47	30	21	18	37	31	32	28	264	236
chr21	30049336	30049433	3	189	169	24	19	28	27	156	141	82	51	58	51	176	145	NA	NA
chr21	30067035	30067176	8	238	212	280	227	210	183	224	186	77	67	28	25	161	126	266	217
chr21	30094925	30095062	7	336	234	96	88	36	26	66	52	102	93	42	31	246	208	372	320
chr21	30097263	30097315	3	NA	NA	48	29	288	185	27	15	NA	NA	NA	NA	NA	NA	156	97
chr21	30105457	30105525	4	NA	NA	NA	NA	NA	NA	120	55	100	71	32	0	24	16	92	46
chr21	30156136	30156177	5	270	170	NA	NA	125	86	155	101	NA	NA	35	19	105	79	170	77
chr21	30156294	30156506	12	66	52	363	329	935	637	462	381	462	396	NA	NA	154	116	341	291
chr21	30157303	30157497	6	78	64	101	97	42	28	34	29	306	254	364	307	217	157	195	175
chr21	30234683	30234885	13	609	489	211	159	144	115	67	43	188	167	NA	NA	55	44	67	61
chr21	30257192	30257435	11	109	67	287	225	500	379	345	179	456	359	403	194	467	374	534	315
chr21	30263904	30263972	7	28	21	35	25	35	25	84	70	70	59	28	23	105	87	NA	NA
chr21	30275896	30276082	11	270	221	420	384	70	60	180	154	40	32	NA	NA	140	129	530	451
chr21	30307884	30308055	9	216	193	192	170	72	49	176	168	280	248	112	93	296	284	416	392
chr21	30341264	30341467	10	53	43	327	297	328	277	124	123	732	601	250	246	757	735	NA	NA
chr21	30352013	30352150	5	92	73	28	28	68	66	124	99	48	46	76	64	180	167	80	66
chr21	30358074	30358142	3	24	7	NA	NA	222	133	NA	NA	NA	NA	NA	NA	NA	NA	21	13
chr21	30360186	30360505	13	378	354	92	86	530	447	492	476	220	216	394	370	1276	1109	324	311
chr21	30365057	30365318	19	598	486	161	130	407	369	166	142	1124	339	414	135	648	445	1223	763
chr21	30372555	30372886	23	288	66	422	93	925	206	1045	232	349	90	531	151	72	13	642	168
chr21	30374220	30374424	9	248	39	288	81	240	83	NA	NA	520	113	112	24	24	7	312	95
chr21	30375011	30375402	30	316	117	827	234	811	272	101	32	1881	673	900	321	420	96	747	256
chr21	30381916	30382010	6	30	28	30	27	48	31	258	231	90	90	30	29	330	324	180	175
chr21	30383199	30383507	16	1095	976	350	328	1047	887	532	507	354	344	942	810	31	29	968	943
chr21	30383521	30383830	14	603	465	171	124	467	350	670	454	605	523	269	183	574	418	60	47
chr21	30391373	30391720	29	842	343	477	240	714	354	1893	890	385	29	379	8	887	45	954	36
chr21	30392097	30392147	4	72	0	84	0	124	0	136	2	NA	NA	232	0	224	0	88	0
chr21	30396763	30396964	15	360	6	464	2	285	12	663	11	463	30	231	11	359	33	654	43
chr21	30438717	30438784	4	24	4	348	116	104	18	20	4	20	4	104	21	256	91	NA	NA
chr21	30445303	30445389	4	20	6	NA	NA	108	36	72	16	84	38	NA	NA	172	56	160	40
chr21	30445685	30445885	14	188	168	204	174	309	275	502	454	853	708	1236	1013	753	261	1050	66
chr21	30449716	30449762	8	32	5	416	50	432	70	96	9	184	33	160	9	904	196	128	16
chr21	30460006	30460205	11	148	26	140	31	108	13	100	18	156	32	76	8	628	104	76	4
chr21	30462935	30462995	5	224	63	NA	NA	52	0	137	13	110	19	159	1	41	1	181	48
chr21	30465962	30466107	9	424	58	976	172	32	12	232	35	312	55	144	17	320	56	288	40
chr21	30473234	30473328	8	110	32	NA	NA	96	8	694	116	279	25	269	61	160	31	389	49
chr21	30473823	30474024	9	23	5	24	9	48	2	56	5	24	5	259	87	227	44	173	45
chr21	30500784	30500918	7	60	19	300	64	NA	NA	204	64	372	74	108	25	300	52	60	0
chr21	30527761	30527911	5	25	3	83	12	56	15	208	36	199	14	57	17	45	5	90	1
chr21	30533353	30533487	5	100	0	28	4	40	8	348	136	24	8	56	34	52	9	296	1
chr21	30540114	30540314	9	23	1	195	30	147	49	95	25	114	19	136	15	123	20	620	105
chr21	30551734	30551802	5	120	45	225	17	40	11	155	30	110	23	340	90	215	23	NA	NA
chr21	30561100	30561145	4	108	0	76	13	56	9	28	10	108	26	76	14	48	11	92	26
chr21	30564519	30564653	8	147	53	497	87	119	21	98	26	126	39	315	44	175	42	NA	NA
